polarization,metric,value
HH,valid_pixel_count,605974401
HH,mean_change_db,-0.14111675573475857
HH,standard_deviation_change_db,2.595987438932481
HH,mean_absolute_change_db,2.002297372850384
HH,sampled_change_db_percentiles_2_25_50_75_98,"[-5.578345317840576, -1.753774881362915, -0.15540766716003418, 1.4580034017562866, 5.381098213195808]"
HH,sampled_large_change_threshold_abs_db_p95,5.1830220222473145
HH,sampled_fraction_large_increase,0.02310993950454561
HH,sampled_fraction_large_decrease,0.026890060495454393
HH,sample_count_for_percentiles,591780
HV,valid_pixel_count,605974401
HV,mean_change_db,-0.1569798831511493
HV,standard_deviation_change_db,2.6683444526708686
HV,mean_absolute_change_db,2.0835094460155092
HV,sampled_change_db_percentiles_2_25_50_75_98,"[-5.739671096801758, -1.852144718170166, -0.15494251251220703, 1.5350253582000732, 5.427493362426761]"
HV,sampled_large_change_threshold_abs_db_p95,5.302250385284424
HV,sampled_fraction_large_increase,0.02203521578965156
HV,sampled_fraction_large_decrease,0.02796478421034844
HV,sample_count_for_percentiles,591780
